created_at,full_text,username
Mon Feb 12 23:38:17 +0000 2024,@ganjarpranowo wkwk prof mahfud asikk banget bener bener definisi bapak bapak kekinian sama pak Ganjar tuh,chlarmer
Mon Feb 12 23:38:15 +0000 2024,@simkuringporsea @Uki23 @PDI_Perjuangan Merdeka...!! Ganjar-Mahfud presiden ayo menangkan wahai anak2 muda...,Denputr37914466
Mon Feb 12 23:37:26 +0000 2024,@tvOneNews berpolitik praktis dg mendukung salah satu calon dan menjelekkan paslon lain itu jelek dan gak boleh berpolitik kebangsaan demi bangsa dan negara serta tegknya demokrasi karna melihat indikasi kecurangan dalm demokrasi itu sah dan harus. paham cil bocil??,WongeG1man
Mon Feb 12 23:37:16 +0000 2024,@ganjarpranowo Pak Ganjar beberapa hari ini mas Denny Siregar kmn ya kok gak nge-tweet,bagisu91488423
Mon Feb 12 23:37:08 +0000 2024,Keberpihakan Mas Ganjar terhadap pendidikan inklusif menciptakan harapan akan akses pendidikan yang lebih merata. Ganjar Pranowo terbukti lebih baik @ChristineLehot #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/g65Eid2F71,PutriLestaaa
Mon Feb 12 23:37:05 +0000 2024,@tempodotco Kalo Anies kalah ya udah kita lebih baik dukung Ganjar aja kan? https://t.co/uYXWM6BeVB,sintiaarah
Mon Feb 12 23:37:02 +0000 2024,Mari bersatu memilih Ganjar - Mahfud untuk Indonesia yang lebih sejahtera. Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @Aksa95539136510 #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/E5GbbYoNFb,suyonorhmat
Mon Feb 12 23:36:54 +0000 2024,jika pak anies atau pak ganjar yang menang saya sudah menyiapkan ruang untuk kekecewaan jika mereka tidak menjalankan janji janjinya. tapi jika prabowo yang menang yaudah ambil saja nyawaku,athenauchinaga
Mon Feb 12 23:36:50 +0000 2024,Bersama Ganjar Pranowo kita menggugah kesadaran akan pentingnya menjaga integritas dalam proses pemilihan . Kesejahteraan berkali lipat Indonesia Hebat ! @cemunyiel #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/ZyhOOMlfce,alifftrhmn_
Mon Feb 12 23:36:49 +0000 2024,Mas Ganjar - Prof Mahfud berhasil menginspirasi rakyat Solo untuk lebih aktif dalam menjaga demokrasi. Ganjar Pranowo hanya yang terbaik untuk rakyat @Gmalplg #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/zBUvnBNsqH,fithriya_a11
Mon Feb 12 23:36:46 +0000 2024,Dulu yakin sama Jokowi sekarang percaya Mas Ganjar bisa lebih . Kesejahteraan berkali lipat Indonesia Hebat ! @Tophaa #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/esHiGbiiGb,MaryaYeyen
Mon Feb 12 23:36:39 +0000 2024,@akoukamukita Terus salahnya jokowi yg mana,Bambangmulyonoo
