created_at,full_text,username
Thu Sep 05 15:40:59 +0000 2024,@tekarok007 Bukannya jet pribadi yang di naikin Anies itu punya partai pengusungnya ya?,yudhistira5teen
Thu Sep 05 15:40:19 +0000 2024,NEWJEANS HAS MADE IT TO THE FINAL ROUND FOR BEST GROUP AT THE VMAS ! PLEASE CLICK THE LINK TO VOTE FOR THEM !!! https://t.co/cybEgNfaJ0 https://t.co/ZeC8T7e5DX,j3anies
Thu Sep 05 15:40:12 +0000 2024,Siapa yg bilang faisal basri org benar .itu karena tdk punya jabatan kekuasaan saja sama dgn anies .di tinggalkan parpol baru mau ingin dirikan parpol selama ini kemana saja .sudah bilang parpol tersandung kekuasaan ingin buat parpol baru ingin ikut parpol .rusak atau benar,Puriadm47818
Thu Sep 05 15:40:09 +0000 2024,@Jhonkosmik Anies Terlalu Keren bang ....,IwidSoeryo
Thu Sep 05 15:39:58 +0000 2024,@aniesbubble Anies Baswedan telah terlibat aktif dalam politik Indonesia dengan dukungan signifikan dari berbagai partai politik dan fokus pada pendidikan kesetaraan dan kepentingan publik.,anurag_dubey36
Thu Sep 05 15:39:12 +0000 2024,@alisyarief PKS kan lebih dulu mencalonkan anies dan Sohibul...kalau memang konsisten harusnya tetap pada pendirian pertama...,DidingHasanudi3
Thu Sep 05 15:39:02 +0000 2024,@aniesbubble Pak Anies yang merujuk pada Anies Baswedan seorang tokoh terkemuka dalam politik Indonesia. Anies Baswedan dikenal karena perannya sebagai mantan Gubernur Jakarta dan sebagai kandidat dalam pemilihan presiden Indonesia.,anurag_dubey36
Thu Sep 05 15:38:54 +0000 2024,@nwjns1st https://t.co/kzzT4TpDVK,j3anies
Thu Sep 05 15:38:26 +0000 2024,@aniesbubble Seems like Pak Anies is ready to face whatever comes his way walking in calmly with just a blue folder in hand! ,MAKKHAN75683907
Thu Sep 05 15:38:25 +0000 2024,@Jumadi25173458 @Kimberley_PS08 LAH DULU JAMAN NYAPRES SI ANIES JUGA KEMANA MANA NAIK PRIVATE JET,nguncikosan
Thu Sep 05 15:38:24 +0000 2024,@fs_antinista @MuhAssidiq @BangPino__ @GeiszChalifah @PKSejahtera Kalian ribut soal bohong2 sayang banget energi kalian habiskan unt berdebat bersengketa yg ga tau ujungnya kemana skrg tny pak anies udah legowo blm? Kalo pak Anies sdh legowo dg takdirnya kenapa kalian mesti ribut dalm perdebatan? Kalo pak Anies blm legowo silahkan bikin partai,Genduniamaya
Thu Sep 05 15:37:59 +0000 2024,@gm_gm Wes tho mbah faktane ganjar 16% anies 24%...Indonesia sudah sangat baik tp akan bisa lebih baik lagi jk anda sebagai mbah2 mampu memberi teladan cara menerima kekalahan dgn iklas bukan mlh mempolitisir sebuah Misa kudus untuk rangkaian kalimat pembenaran anda Cen Mbelgedes,HaramAsoy
Thu Sep 05 15:37:49 +0000 2024,@aniesbubble Pak Anies arrived at KPK.,ShahidRaza__
Thu Sep 05 15:28:20 +0000 2024,@Tan_Mar3M bersyukurlah Pak Anies menolak jadi cagub di Jabar lawannya kaya begini terus akhirnya kalah apa ngga tambah jadi bulan-bulanan buzzer Mulyono..,celanajoger2325
Thu Sep 05 15:28:17 +0000 2024,@hnurwahid @PKSejahtera @aniesbaswedan Maksudnya kalimat terakhir apa pak? Kok Anies mau bikin partai ente yg kepanasan hai partai dakwah @PKSejahtera,SarahSalim1108
Thu Sep 05 15:28:00 +0000 2024,@leehanlohan cdm yaaa bub,scoupskibidi
Thu Sep 05 15:27:20 +0000 2024,Anda benar... Terbukti Anies menang telak di pilpres. Itu nyata sebagai bukti bahwa mayoritas rakyat percaya pada Anies.,Jhonkosmik
Thu Sep 05 15:26:51 +0000 2024,Ketika tau Pak Anies tidak jadi Maju di Pilgub Warga Kampung Bayam Matilah kita Disini ! https://t.co/0lKoYavXKE,ronaldy596
Thu Sep 05 15:25:34 +0000 2024,@sundari69a @wakcis Anak Abah: Pemerintah pusat itu cuma bisa menjegal Anies Also Anak Abah: nih liat prestasi Anies dari pemerintah pusat Btw dari dulu juga DKI Jakarta itu panen prestasi apalagi kalau masalah data. Saingan cuma Jabar.,sniper7787
Thu Sep 05 15:25:22 +0000 2024,@ekky1995 hahahaha aslii setuju dulu juga waktu jadi gubernur orang non muslim pada ga boleh ibadah plus didiskriminasi sama pemprov DKI kann. emang tai si anies,kontholithemm
Thu Sep 05 15:24:53 +0000 2024,@tifsembiring Anies mau buat PARPOL kenapa PKS yang kebakaran Jengkot.....,loketpaytren2
Thu Sep 05 15:24:42 +0000 2024,@hiwonwoo_ RILLL,scoupskibidi
Thu Sep 05 15:23:39 +0000 2024,justru bagus kalo mulai tanpa figur politik tua kyk Anies biar ga terikat sama pemain2 lama. Start fresh tanpa beban obligasi ke siapapun,elmosucksass
Thu Sep 05 15:23:31 +0000 2024,@asditangerang @Uki23 Karena dari dulu mereka senang menyerang Anies m Prabowo Anies sudah tidak punya posisi apa2 sedangkan Prabowo udah 1 circle makanya mereka menyerang @PDI_Perjuangan jangan2 @psi_id ini tugasnya cuma menyerang personal atau parpol yg berseberangan aja karena mereka miskin ide,jfnikijuluw
Thu Sep 05 15:22:29 +0000 2024,@spin13368 @yaniarsim @ferizandra Kalau masalah niat kan orang luar tidak bisa menghakimi. itu masalah hati. Tp saya yakin klo tujuannya dapat kekuasaan maka tujuannya agar bisa buat kebijakan yg baik. Klo memang ada uang maka utk membiayai pergerakan. PKS dukung Anies dr 2017 kan tanpa mahar kader patungan,Teramat_
Thu Sep 05 15:21:29 +0000 2024,Dah lama gak lihat pak anies make seragaman gini mau apa tuch pak..mau lamar di kpk kah,entrkive
Thu Sep 05 15:21:02 +0000 2024,Saya tidak jenuh menonton video ini. Harus diakui Anies keren https://t.co/eeCFp0KjzA,Jhonkosmik
Thu Sep 05 15:19:26 +0000 2024,@Marko_Omang Anies nya sendiri moderat bro cuma beberapa pendukungnya yg konservatif model dia tapi lebih sering berisik aja. Pendukung yg moderat dan progresif lebih sibuk kritisi rezim bahkan ikut suka cita dgn kedatangan paus,Arifineyusuf
Thu Sep 05 15:18:25 +0000 2024,@BosPurwa untunglah Pak Anies menolak dicalonkan di Pilgub Jabar bayangkan kalau nantinya Pak Anies harus kalah dari orang seperti ini ‍,celanajoger2325
Thu Sep 05 14:57:25 +0000 2024,@salimafillah @wawansaktiawan_ Waduh saya n Habib Anies nih tersangkanya? ,RanuWijayaAldrs
Thu Sep 05 14:56:56 +0000 2024,Karna terdapat persaingan antara kedua kelompok ini maka wajar bila pada akhirnya Anies disingkirkan dalam persaingan ini salasatu caranya adalah dengan meminta partai partai untuk tidak memberikan surat rekomendasi untuk Anies dalam mengikuti kontestasi Pilkada DKI Jakarta 2024,abdulhadipkb_
Thu Sep 05 14:56:48 +0000 2024,@MardaniAliSera @aniesbaswedan Berat dari mananya om. Partai ummat partai gelora aja bisa wlwpun suara sedikit.. Anies Baswedan.. punya banyak massa.. punya bnyk relawan yg siap utk dana...,bowo_1987
Thu Sep 05 14:56:40 +0000 2024,@aslijawasejati Bener banget nih anies dah banyak naro orang dalam di dki rasanya dia sempet ngaku jg klo dia terpaksa naro ordal buat lawan ordal yg sebelumnya.,extrapayah
Thu Sep 05 14:55:39 +0000 2024,@MardaniAliSera @aniesbaswedan Anies Baswedan bikin partai elektabilitas PKS terganggu.,rissech1
Thu Sep 05 14:55:10 +0000 2024,@Uki23 Mas uki maaf tapi menurut saya mas kaesang tetap salah dan pak mahfud maupun bu mega juga perlu diselidiki jadi tugas kpk sekarang menyelidiki ketiganya termasuk waktu pak anies pakai barang pinjaman tersebut. Kami hanya ingin para pejabat entah siapapun namanya bersih,bocilajaib212
Thu Sep 05 14:55:07 +0000 2024,@Boediantar4 TERIMA KASIH PAK !!! SEMOGA BAPAK DITEMPATKAN DI TEMPAT TERBAIK DI SISI ALLAH SWT. AAMIIN HORMAT DARI KAMI GENERASI PENERUS YANG AKAN MELANJUTKAN PERJUANGAN BAPAK,JagoanAnies
Thu Sep 05 14:54:47 +0000 2024,@SubarjoS33963 @xquitavee @jokowi Hehehehe ada apa bang? Bayarannya kurang kah? Ga nyenggol anis ga makan sih. Lu mau apa dari Anies. Ngehina tuh gaada guna. Anies gaada jabatan. Apa lu takut njir? Sampe kaya gitu. Wkwkwk.,superfluffy18
Thu Sep 05 14:53:45 +0000 2024,@dabeldot Kalau alasannya pembentukan partai baru supaya bisa usung pak Anies jadi pemimpin lebih baik tidak usah. Tapi jika tujuan pembentukan partai sebagai harapan baru di negeri ini mari di gaskan. Yang jelas ormas dulu supaya visinya jelas.,harusitusihh
Thu Sep 05 14:53:41 +0000 2024,Idrus Marhan keceplosan : Ada strategi untuk menjegal anies maju https://t.co/HqZEbCztff,hutrichan
Thu Sep 05 14:53:06 +0000 2024,@tifsembiring Di kira mereka rakyat yg dukung abah Anies tidak ngerti arah politik sudahlah. Kecewa pada PKS tdk akan pulih walaupun ngetwiit ratusan kali klarifikasi.,gembeltv_
Thu Sep 05 14:53:02 +0000 2024,@ernestprakasa Sekeren pak anies baswedan,Quotebacabuku
Thu Sep 05 14:53:02 +0000 2024,Mencoba mencari celah untuk meniadakan peran anies di DKI yg identik PKS Seperti nya emang PKS sudah tidak ingin bersama PKS kah ?,choymarkochoy
Thu Sep 05 14:52:24 +0000 2024,My kingqueen really is a ssoty along with anies,almondstardust
Thu Sep 05 14:52:05 +0000 2024,@stafsusthe2 Biar keliatan bekerja manarik simpati masyarakat ,JokoButon
Thu Sep 05 14:51:57 +0000 2024,@epilogj Juara 1 mancing amarah anak abah anies ,rifkypras_
Thu Sep 05 14:43:59 +0000 2024,@cowokcakep1976 @GeiszChalifah Mending Geisz Anak Abah yg Bully PKS tp kagak PDIP Nasdem dan PKB... Simpen tenaga buat bikin Ormas atau Partai... Biar Anies gak seenaknya di dukung Partai Tapi kudu Nurut sama dia... Klo dia Ketum Partai gue yakin Bargainingnya lebih Kuat... Dengerin tuh Kang Sobary..,hari_mawon
Thu Sep 05 14:43:36 +0000 2024,Kesaksian tentang Anies yang ternyata bukan akademisi. Anies menjadi rektor tanpa pernah mengajar dan meneliti sebagaimana seorang dosen pada umumnya. Dia mau jadi rektor karena dia mau jadi kepala. Mirip tujuannya membuat parpol. YANG PENTING JADI KEPALA YANG PENTING JADI KETUM https://t.co/4u8nyNIPe7,Kenikir27
Thu Sep 05 14:42:54 +0000 2024,@toe_giman Di ajak mubahala takut padahal petingginya gak berhenti bawa2 agama kalau pidato ,JokoButon
Thu Sep 05 14:42:30 +0000 2024,Adi Pray Anies itu Iman Politiknya Beda dia Menolak IKN mengkritik Infrastruktur makan Siang Gratis ! ' Ya Iyalah ! Karna Pak Anies itu Nawaitunya ketika akan jadi Pemimpin bukan untuk mencari Kekuasaan lalu diwariskan utk Anak &amp; Menantu https://t.co/g3rr39jbLJ,ronaldy596
Thu Sep 05 14:41:55 +0000 2024,Aura Kasih Foto Bareng dengan Anies Baswedan Warganet: Barisan Abah https://t.co/FgKUvTJKZr,fajaronline
Thu Sep 05 14:40:41 +0000 2024,@neohistoria_id Ngapain nanya sii? Dari PENCALONAN SULFAT TOLOL KONSTITUSI KITA UDAH MATI !!!,JagoanAnies
Thu Sep 05 14:40:21 +0000 2024,@JKoendji @_toriqq @polisiolahraga Masih aja ngomongin private jet gue jelasin yaa 1. Itu penunjang kampanye yang diberikan surya paloh ke anies 2. Anies itu statusnya warga sipil walaupun jadi capres dan 3. Si mulyono juga dapat pinjaman private jet saat pilpres 2014 dari surya paloh.,hfzrbn
Thu Sep 05 14:39:52 +0000 2024,@DDiezD @Metro_TV @aniesbaswedan Gw tanya tolong dijawab dong? Anies memperbaiki bangsa dari sisi apanya? Dari sisi yang gak nyoblos gak boleh disholatin? Itu? Njilat gini amat lu..,Jon_kent__
Thu Sep 05 14:39:50 +0000 2024,@tifsembiring Kasian sama warga kampung bayam lansia anak² yg KJP nya diputus jaman heru dll mereka menghadap Anies mengembalikan hak² mereka tp dg kejadian ini gagal ... Apakah ada program RK buat mereka Krn program RK cuma buat rumah diatas pasar kali dan bikin jakarta jadi lokasi wisata,RobbyGu176922
Thu Sep 05 14:39:13 +0000 2024,@Mocil101 @PincalangDewa @SemutMerah2024 @tifsembiring @aniesbaswedan @PKSejahtera Anak abah anak abah... PKS sdh ngusung Anies tp PKB dan Nasdem gelagatnya sdh jelas tdk mau mengusung Anies. Makanya PKS merapat ke RK krn jelas kursinya cukup. Salahkan tu nasdem dan PKB jgn PKS terus yg disalahkan,Xwayzi
Thu Sep 05 14:38:36 +0000 2024,@tifsembiring Apapun ceritanya sy yg coblos PKS di 2024 sangat kecewa. PKS masuk kolam butek. Anies hanya satu hal yg bisa atau tidak di calonkan ga masalah.,rajatapura
Thu Sep 05 14:37:58 +0000 2024,@menyamenyanen @FiNfie777 @_Palestine5 Anak abah anies yg selalu menagies https://t.co/JNp0WhieQA,Matthew28at19
Thu Sep 05 14:36:58 +0000 2024,@dantepamungkas @frans_surya @MardaniAliSera @hnurwahid @dapitnih @UusRsd @AjiTeguh04 @aindraku Iya deh. Suara PKS 2019 &amp; 2024 semua karena Anies meski 2019 Anies gak kampanyein PKS. Kader gak ada gunanya. Capres cawapres Prabowo Sandi gak ada gunanya. Gerakan #2019GantiPresiden gak ngefek. Kampanye kader gak ngefek. Semua hanya karena Anies. Hidup Yang Mulia Anies!,Kang_Cepot
Thu Sep 05 14:36:57 +0000 2024,@180642_ @officialinews_ @TaufikDamas Twit war pendukung anies &amp; ahok bikin capek. Ga kelar2.,OrangAwak17
Thu Sep 05 14:36:26 +0000 2024,@AjiTeguh04 Woooyyy jangan bahas Anies terus...move on Doong....Kampanyekan noh calon yg PKS dukung kalau ga cari simpati kek,Nhahwa1
Thu Sep 05 14:36:23 +0000 2024,guys I love supernatural so much https://t.co/li5j0T809e,j3anies
Thu Sep 05 14:35:07 +0000 2024,@abu_waras Tdk USAh bertopeng uda kutahuan wajah kalian bawa Bawa agama pula jijik tau,JokoButon
Thu Sep 05 14:35:04 +0000 2024,@thomarchives apakah benar anies akan mendirikan partai cek link dibawah : https://t.co/S1ckYWgfaR,AldiePratamas15
